时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:14:728	HC-06(556C659059FE)	0.107	0.107	1.078	19.226	-30.273	5.554	-0.04	-4.96	111.14	28.6	18258	100
2024-10-13 10:1:14:759	HC-06(556C659059FE)	0.066	0.080	1.065	8.789	-7.874	1.404	0.07	-5.06	111.17	28.6	18258	100
2024-10-13 10:1:14:761	HC-06(556C659059FE)	0.018	0.035	0.987	-2.441	13.367	-2.380	0.07	-4.94	111.15	28.4	18258	100
2024-10-13 10:1:14:761	HC-06(556C659059FE)	-0.018	-0.024	0.890	-11.414	25.330	-4.089	-0.01	-4.69	111.10	28.6	18258	100
2024-10-13 10:1:14:769	HC-06(556C659059FE)	-0.051	-0.065	0.803	-12.817	27.832	-3.784	-0.13	-4.39	111.07	28.6	18258	100
2024-10-13 10:1:14:769	HC-06(556C659059FE)	-0.081	-0.098	0.754	-9.827	20.325	-1.892	-0.23	-4.14	111.04	28.4	18258	100
2024-10-13 10:1:14:769	HC-06(556C659059FE)	-0.086	-0.141	0.755	-2.258	5.676	0.793	-0.28	-4.02	111.04	28.5	18258	100
2024-10-13 10:1:14:801	HC-06(556C659059FE)	-0.058	-0.154	0.813	6.409	-6.897	5.676	-0.24	-4.03	111.08	28.6	18258	100
2024-10-13 10:1:14:801	HC-06(556C659059FE)	-0.017	-0.131	0.885	11.414	-11.963	11.414	-0.16	-4.11	111.19	28.6	18258	100
2024-10-13 10:1:14:802	HC-06(556C659059FE)	0.004	-0.079	0.930	14.038	-8.667	15.503	-0.05	-4.18	111.34	28.6	18258	100
2024-10-13 10:1:14:862	HC-06(556C659059FE)	0.021	-0.013	0.950	11.780	-3.357	17.395	0.05	-4.20	111.51	28.6	18258	100
2024-10-13 10:1:14:863	HC-06(556C659059FE)	0.037	0.028	0.966	3.540	1.282	18.188	0.08	-4.16	111.69	28.6	18258	100
2024-10-13 10:1:14:863	HC-06(556C659059FE)	0.048	0.045	0.993	-4.883	7.568	18.799	0.03	-4.08	111.87	28.5	18258	100
2024-10-13 10:1:14:863	HC-06(556C659059FE)	0.092	0.061	1.024	-10.559	14.709	19.470	-0.09	-3.92	112.07	28.7	18258	100
2024-10-13 10:1:14:864	HC-06(556C659059FE)	0.149	0.100	1.020	-12.634	22.156	20.447	-0.23	-3.70	112.27	28.6	18258	100
2024-10-13 10:1:14:887	HC-06(556C659059FE)	0.215	0.158	0.977	-11.963	27.710	20.447	-0.36	-3.42	112.47	28.6	18258	100
2024-10-13 10:1:14:909	HC-06(556C659059FE)	0.250	0.227	0.925	-10.437	31.555	17.883	-0.47	-3.10	112.66	28.6	18258	100
2024-10-13 10:1:14:909	HC-06(556C659059FE)	0.269	0.247	0.858	-9.277	32.043	12.817	-0.55	-2.78	112.80	28.5	18258	100
2024-10-13 10:1:14:919	HC-06(556C659059FE)	0.286	0.220	0.803	-6.653	28.992	7.385	-0.60	-2.49	112.88	28.7	18258	100
2024-10-13 10:1:14:919	HC-06(556C659059FE)	0.300	0.176	0.782	-1.038	22.400	2.258	-0.60	-2.26	112.91	28.6	18258	100
2024-10-13 10:1:14:920	HC-06(556C659059FE)	0.323	0.132	0.789	7.202	11.597	-1.953	-0.51	-2.15	112.91	28.6	18258	100
2024-10-13 10:1:14:920	HC-06(556C659059FE)	0.346	0.106	0.828	12.878	-0.977	-4.944	-0.36	-2.16	112.86	28.6	18258	100
2024-10-13 10:1:14:981	HC-06(556C659059FE)	0.326	0.081	0.881	14.221	-10.559	-7.935	-0.18	-2.29	112.80	28.6	18258	100
2024-10-13 10:1:14:982	HC-06(556C659059FE)	0.257	0.019	0.947	10.437	-14.771	-10.376	-0.03	-2.48	112.70	28.7	18258	100
2024-10-13 10:1:14:983	HC-06(556C659059FE)	0.173	-0.073	1.015	7.385	-14.404	-9.094	0.08	-2.68	112.60	28.6	18258	100
2024-10-13 10:1:15:6	HC-06(556C659059FE)	0.105	-0.118	1.052	6.348	-11.047	-5.615	0.17	-2.85	112.54	28.5	18258	100
2024-10-13 10:1:15:7	HC-06(556C659059FE)	0.048	-0.121	1.039	3.662	-6.653	-1.038	0.23	-2.98	112.52	28.6	18258	100
2024-10-13 10:1:15:7	HC-06(556C659059FE)	-0.014	-0.100	1.014	-0.305	0.122	3.723	0.24	-3.04	112.54	28.6	18258	100
2024-10-13 10:1:15:45	HC-06(556C659059FE)	-0.077	-0.079	0.995	-5.859	8.118	7.019	0.20	-3.01	112.61	28.6	18258	100
2024-10-13 10:1:15:46	HC-06(556C659059FE)	-0.102	-0.073	0.978	-10.071	15.076	10.681	0.10	-2.91	112.70	28.6	18258	100
2024-10-13 10:1:15:46	HC-06(556C659059FE)	-0.104	-0.060	0.958	-6.897	19.287	13.489	0.01	-2.75	112.84	28.6	18258	100
2024-10-13 10:1:15:47	HC-06(556C659059FE)	-0.076	-0.009	0.945	4.333	16.296	14.832	0.02	-2.59	112.98	28.6	18258	100
2024-10-13 10:1:15:47	HC-06(556C659059FE)	-0.038	0.032	0.955	17.700	3.174	13.184	0.14	-2.53	113.12	28.6	18258	100
2024-10-13 10:1:15:48	HC-06(556C659059FE)	-0.015	0.040	0.994	33.569	-11.292	7.996	0.43	-2.61	113.21	28.6	18258	100
2024-10-13 10:1:15:82	HC-06(556C659059FE)	0.010	0.024	1.048	45.288	-23.071	3.784	0.86	-2.82	113.26	28.7	18258	100
2024-10-13 10:1:15:83	HC-06(556C659059FE)	0.046	-0.007	1.087	50.232	-29.236	2.197	1.35	-3.10	113.27	28.7	18258	100
2024-10-13 10:1:15:83	HC-06(556C659059FE)	0.096	-0.027	1.110	46.082	-29.480	2.075	1.81	-3.39	113.29	28.4	18258	100
2024-10-13 10:1:15:179	HC-06(556C659059FE)	0.129	-0.044	1.132	34.363	-21.423	2.197	2.18	-3.63	113.30	28.7	18258	100
2024-10-13 10:1:15:179	HC-06(556C659059FE)	0.119	-0.061	1.128	17.273	-3.906	1.465	2.38	-3.71	113.32	28.6	18258	100
2024-10-13 10:1:15:180	HC-06(556C659059FE)	0.058	-0.082	1.098	-2.808	17.212	-1.099	2.38	-3.59	113.32	28.6	18258	100
2024-10-13 10:1:15:181	HC-06(556C659059FE)	-0.014	-0.133	1.034	-18.921	33.142	-2.197	2.20	-3.29	113.31	28.6	18258	100
2024-10-13 10:1:15:181	HC-06(556C659059FE)	-0.048	-0.173	0.980	-23.865	37.292	-0.916	1.95	-2.92	113.31	28.5	18258	100
2024-10-13 10:1:15:182	HC-06(556C659059FE)	-0.047	-0.197	0.950	-20.203	33.264	1.160	1.70	-2.58	113.32	28.4	18258	100
2024-10-13 10:1:15:182	HC-06(556C659059FE)	-0.010	-0.189	0.938	-11.597	26.123	4.822	1.53	-2.30	113.37	28.6	18258	100
2024-10-13 10:1:15:183	HC-06(556C659059FE)	0.023	-0.147	0.938	-3.784	19.653	8.179	1.44	-2.09	113.44	28.5	18258	100
2024-10-13 10:1:15:184	HC-06(556C659059FE)	0.044	-0.084	0.939	1.953	12.634	10.010	1.41	-1.94	113.55	28.6	18258	100
2024-10-13 10:1:15:223	HC-06(556C659059FE)	0.055	-0.050	0.950	7.996	3.723	9.827	1.43	-1.88	113.65	28.6	18258	100
2024-10-13 10:1:15:223	HC-06(556C659059FE)	0.072	-0.030	0.988	14.282	-6.470	8.667	1.52	-1.93	113.74	28.6	18258	100
2024-10-13 10:1:15:224	HC-06(556C659059FE)	0.090	-0.020	1.066	17.822	-15.320	7.019	1.66	-2.06	113.81	28.6	18258	100
2024-10-13 10:1:15:224	HC-06(556C659059FE)	0.108	-0.011	1.159	18.677	-18.494	5.676	1.81	-2.25	113.86	28.5	18258	100
2024-10-13 10:1:15:230	HC-06(556C659059FE)	0.130	0.001	1.238	16.418	-15.686	4.517	1.95	-2.42	113.90	28.6	18258	100
2024-10-13 10:1:15:231	HC-06(556C659059FE)	0.137	-0.006	1.276	8.972	-6.592	3.357	2.03	-2.51	113.93	28.6	18258	100
2024-10-13 10:1:15:259	HC-06(556C659059FE)	0.136	-0.037	1.268	1.038	5.005	3.662	2.03	-2.49	113.97	28.6	18258	100
2024-10-13 10:1:15:260	HC-06(556C659059FE)	0.127	-0.083	1.211	-3.235	13.489	6.592	1.98	-2.38	114.03	28.6	18258	100
2024-10-13 10:1:15:260	HC-06(556C659059FE)	0.151	-0.097	1.141	-3.052	14.160	12.695	1.91	-2.25	114.14	28.6	18258	100
2024-10-13 10:1:15:296	HC-06(556C659059FE)	0.171	-0.067	1.086	-3.540	8.667	15.869	1.85	-2.17	114.30	28.6	18258	100
2024-10-13 10:1:15:298	HC-06(556C659059FE)	0.207	0.013	1.060	-2.441	-0.427	16.296	1.78	-2.17	114.46	28.7	18258	100
2024-10-13 10:1:15:299	HC-06(556C659059FE)	0.263	0.131	1.088	-3.662	-10.681	15.625	1.72	-2.27	114.61	28.6	18258	100
2024-10-13 10:1:15:337	HC-06(556C659059FE)	0.305	0.236	1.125	-11.108	-12.207	13.855	1.61	-2.42	114.76	28.7	18258	100
2024-10-13 10:1:15:337	HC-06(556C659059FE)	0.313	0.304	1.107	-21.851	-2.258	9.888	1.41	-2.50	114.86	28.5	18258	100
2024-10-13 10:1:15:338	HC-06(556C659059FE)	0.279	0.338	1.024	-31.494	12.573	3.784	1.12	-2.45	114.92	28.6	18258	100
2024-10-13 10:1:15:361	HC-06(556C659059FE)	0.217	0.333	0.913	-39.612	23.315	-3.296	0.76	-2.27	114.91	28.5	18258	100
