时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:59:21:938	HC-06(556C659059FE)	0.137	0.000	0.997	-10.925	5.188	-14.160	-4.25	-7.45	-111.19	27.1	18258	100
2024-10-13 9:59:21:938	HC-06(556C659059FE)	0.127	-0.014	1.014	-11.841	5.981	-14.282	-4.33	-7.40	-111.34	27.2	18258	100
2024-10-13 9:59:21:939	HC-06(556C659059FE)	0.120	-0.032	1.031	-11.230	6.409	-14.343	-4.40	-7.36	-111.48	27.2	18258	100
2024-10-13 9:59:21:967	HC-06(556C659059FE)	0.100	-0.044	1.048	-10.254	8.484	-13.794	-4.47	-7.28	-111.63	27.4	18258	100
2024-10-13 9:59:21:968	HC-06(556C659059FE)	0.083	-0.057	1.050	-8.179	10.193	-13.306	-4.52	-7.20	-111.77	27.3	18258	100
2024-10-13 9:59:21:969	HC-06(556C659059FE)	0.061	-0.065	1.038	-4.822	10.864	-12.939	-4.54	-7.10	-111.91	27.4	18258	100
2024-10-13 9:59:21:970	HC-06(556C659059FE)	0.054	-0.064	1.016	-1.465	9.338	-12.756	-4.53	-7.01	-112.05	27.0	18258	100
2024-10-13 9:59:21:971	HC-06(556C659059FE)	0.051	-0.057	0.982	0.732	8.667	-12.329	-4.49	-6.93	-112.18	27.4	18258	100
2024-10-13 9:59:21:998	HC-06(556C659059FE)	0.040	-0.048	0.943	1.770	10.498	-11.230	-4.45	-6.83	-112.30	27.2	18258	100
2024-10-13 9:59:21:999	HC-06(556C659059FE)	0.030	-0.037	0.902	2.319	12.756	-10.315	-4.40	-6.71	-112.42	27.4	18258	100
